,0,1,2,3,4,5,6,7,8,9
0,1450.0,3.0,2.0,0.0,1.0,0.0,10.0,1.0,6.0,2.0
1,0.0,1712.0,3.0,1.0,4.0,1.0,2.0,7.0,2.0,0.0
2,5.0,14.0,1368.0,8.0,3.0,0.0,0.0,17.0,4.0,3.0
3,2.0,2.0,15.0,1481.0,0.0,3.0,0.0,10.0,10.0,7.0
4,0.0,5.0,2.0,1.0,1477.0,0.0,2.0,10.0,1.0,23.0
5,1.0,1.0,0.0,11.0,1.0,1319.0,11.0,2.0,10.0,4.0
6,8.0,2.0,4.0,0.0,2.0,9.0,1441.0,0.0,2.0,0.0
7,0.0,3.0,3.0,0.0,4.0,1.0,0.0,1574.0,1.0,8.0
8,5.0,8.0,5.0,4.0,4.0,9.0,5.0,3.0,1334.0,6.0
9,2.0,3.0,1.0,3.0,18.0,5.0,0.0,16.0,7.0,1460.0
