,0
0,2.316596031188965
1,2.3125412464141846
2,2.315997918446859
3,2.318634867668152
4,2.31911940574646
5,2.3187668323516846
6,2.315512384687151
7,2.312170147895813
8,2.309813896814982
9,2.306386399269104
10,2.3031840324401855
11,2.300531327724457
12,2.298899063697228
13,2.2975329671587263
14,2.2958809693654376
15,2.2954760938882828
16,2.2944265113157383
17,2.2922264602449207
18,2.2919025295659115
19,2.2914543747901917
20,2.2898013591766357
21,2.2891471927816216
22,2.2869369258051333
23,2.286151707172394
24,2.2838291549682617
25,2.283152626110957
26,2.2824290063646107
27,2.2800859042576382
28,2.278424024581909
29,2.2761423428853353
30,2.274630385060464
31,2.272586815059185
32,2.2706867492560185
33,2.267970653141246
34,2.2658530371529717
35,2.2630297342936196
36,2.259252168036796
37,2.257652671713578
38,2.2555149640792456
39,2.2521720468997954
40,2.2477866265831925
41,2.24606226171766
42,2.242409728294195
43,2.2412651506337253
44,2.238451099395752
45,2.2351927705433057
46,2.232026120449634
47,2.2268494218587875
48,2.2231791506008225
49,2.2207218313217165
50,2.214797358886868
51,2.208884365283526
52,2.20401302148711
53,2.199598998935134
54,2.195610761642456
55,2.1905021092721393
56,2.184985692040962
57,2.175987247763009
58,2.1698858091386697
59,2.1646923323472342
60,2.1607555444123316
61,2.154154933268024
62,2.149006417819432
63,2.1429938841611147
64,2.134446461384113
65,2.1261806054548784
66,2.119150814725392
67,2.1108532127212074
68,2.1023281104322793
69,2.0923605050359453
70,2.0843076084701107
71,2.0770731882916555
72,2.068632806817146
73,2.0585776454693563
74,2.051054590543111
75,2.040703784478338
76,2.0317337760677585
77,2.021418484357687
78,2.012849462183216
79,2.003787563741207
80,1.9957787813963714
81,1.9877081557018002
82,1.978600025177002
83,1.9715746073495775
84,1.960901689529419
85,1.950050204299217
86,1.9398274462798546
87,1.9302201040766456
88,1.920251543602247
89,1.9086039000087314
90,1.8992878539221627
91,1.8920217480348505
92,1.8827778306058658
93,1.873132547799577
94,1.861193279216164
95,1.8516201712191105
96,1.8418402235532545
97,1.8312047598313312
98,1.8208084666367732
99,1.8108558744192123
100,1.8015161457628306
101,1.789388258083194
102,1.779244303703308
103,1.7676505291691194
104,1.7588034300577073
105,1.7486092954311732
106,1.738664311783336
107,1.7297903911934958
108,1.7216707604740737
109,1.7129671584476125
110,1.7032659295442942
111,1.6932447547359126
112,1.684146387387166
113,1.6757914816078388
114,1.6682222304136858
115,1.659217972179939
116,1.6521828251007276
117,1.6442386144298617
118,1.6349927993381725
119,1.6268830746412277
120,1.6174471666497632
121,1.608846089634739
122,1.6002816579690793
123,1.5922404395476464
124,1.5835016694068909
125,1.5769851567253235
126,1.5688290060974481
127,1.559664057334885
128,1.5521694340909173
129,1.5446402607055811
130,1.5376041715836708
131,1.5307089964097196
132,1.5231939547492148
133,1.5168761346322388
134,1.508402074487121
135,1.5007700819303007
136,1.492077979510718
137,1.4849637723055438
138,1.4765994066385915
139,1.4699368542858533
140,1.4628910726689277
141,1.455966047627825
142,1.4489331368382994
143,1.441679674718115
144,1.4360820371529153
145,1.430786720285677
146,1.4239025083528896
147,1.4178444437078528
148,1.4115316977836943
149,1.4069953602552414
150,1.4011136816432144
151,1.394212274371009
152,1.3883380204244378
153,1.3828419280516637
154,1.3766626217672902
155,1.3700748166212668
156,1.365141243691657
157,1.3596633861336527
158,1.3527987597498503
159,1.3466226940974593
160,1.3405862002639297
161,1.3354276017642315
162,1.331168700580948
163,1.326582223903842
164,1.3220305952158842
165,1.3170166243630719
166,1.3117267528693832
167,1.306541622572002
168,1.302182302496137
169,1.2970615162568935
170,1.2920402494090342
171,1.2858880891702895
172,1.2809789713062991
173,1.2758277753988903
174,1.2718413376808166
175,1.2674662074582144
176,1.2631361925669309
177,1.258376312054945
178,1.2534159501837618
179,1.2491639051172467
180,1.2431414021971476
181,1.2392096683219238
182,1.2346900848091626
183,1.2295606063435907
184,1.225080101232271
185,1.220623702772202
186,1.2172257004574658
187,1.2126639483773962
188,1.2081895412276031
189,1.2047607028170635
190,1.2012527224593137
191,1.1965747638605535
192,1.1920353198916183
193,1.1873218298880095
194,1.1830546700037443
195,1.1790841971429027
196,1.1743679163873497
197,1.1707796866093019
198,1.1673996299505234
199,1.1629812344163657
200,1.158649194225743
201,1.1538538325688628
202,1.1503518540136919
203,1.1461306095269381
204,1.1436668033280024
205,1.1396475488555085
206,1.1359406706071706
207,1.1325550145971088
208,1.1290915964180201
209,1.1251026690715835
210,1.120882880843081
211,1.1174096124211572
212,1.1146043034646433
213,1.1105883271198407
214,1.1062153915333193
215,1.1021277634771887
216,1.0991282543416396
217,1.0951310826824345
218,1.0916317531235142
219,1.0882040017030457
220,1.085217409948418
221,1.0821112884326025
222,1.0785029728316406
223,1.075652996743364
224,1.0724286839697097
225,1.0693949591533272
226,1.0659977303990182
227,1.0619507674454598
228,1.059124920110515
229,1.0558460328242054
230,1.0522515742809742
231,1.0496152982372662
232,1.0482684093739343
233,1.0454465703577058
234,1.0429937136934158
235,1.0404254861049733
236,1.0375076021826217
237,1.0348953674821293
238,1.0325220110027362
239,1.0294774087766807
240,1.026198177911434
241,1.022612003686507
242,1.0202626831860209
243,1.0175213003378423
244,1.0149166191719017
245,1.012549019744241
246,1.0096148794841187
247,1.0065679493089836
248,1.0037935607763657
249,1.0016829189658165
250,0.9993478478307268
251,0.9969393956874099
252,0.994458541156275
253,0.9919237415269604
254,0.9890416057086459
255,0.9862572601414286
256,0.9832265934823552
257,0.9812448219966519
258,0.9792668012808649
259,0.9768650863033075
260,0.9745895935657838
261,0.9723809190833842
262,0.9694903041360042
